clip1_path,clip2_path,label
data/base_audio/clip_00362.wav,data/base_audio/clip_00362.wav,1
data/base_audio/clip_00362.wav,data/base_audio/clip_06227.wav,0
data/base_audio/clip_05813.wav,data/base_audio/clip_05813.wav,1
data/base_audio/clip_02310.wav,data/base_audio/clip_00635.wav,0
data/base_audio/clip_06387.wav,data/base_audio/clip_06387.wav,1
data/base_audio/clip_05423.wav,data/base_audio/clip_06460.wav,0
data/base_audio/clip_07287.wav,data/base_audio/clip_07287.wav,1
data/base_audio/clip_03183.wav,data/base_audio/clip_04363.wav,0
data/base_audio/clip_00867.wav,data/base_audio/clip_00867.wav,1
data/base_audio/clip_01013.wav,data/base_audio/clip_01013.wav,1
data/base_audio/clip_05574.wav,data/base_audio/clip_05574.wav,1
data/base_audio/clip_03668.wav,data/base_audio/clip_06229.wav,0
data/base_audio/clip_00220.wav,data/base_audio/clip_00220.wav,1
data/base_audio/clip_04909.wav,data/base_audio/clip_05867.wav,0
data/base_audio/clip_04051.wav,data/base_audio/clip_01257.wav,0
data/base_audio/clip_06842.wav,data/base_audio/clip_06842.wav,1
data/base_audio/clip_07136.wav,data/base_audio/clip_07136.wav,1
data/base_audio/clip_01575.wav,data/base_audio/clip_01575.wav,1
data/base_audio/clip_07132.wav,data/base_audio/clip_01518.wav,0
data/base_audio/clip_06551.wav,data/base_audio/clip_04480.wav,0
data/base_audio/clip_04447.wav,data/base_audio/clip_04447.wav,1
data/base_audio/clip_07565.wav,data/base_audio/clip_07565.wav,1
data/base_audio/clip_04177.wav,data/base_audio/clip_04177.wav,1
data/base_audio/clip_03103.wav,data/base_audio/clip_05507.wav,0
data/base_audio/clip_02542.wav,data/base_audio/clip_02542.wav,1
data/base_audio/clip_00970.wav,data/base_audio/clip_00970.wav,1
data/base_audio/clip_03184.wav,data/base_audio/clip_04075.wav,0
data/base_audio/clip_01283.wav,data/base_audio/clip_01283.wav,1
data/base_audio/clip_03801.wav,data/base_audio/clip_04572.wav,0
data/base_audio/clip_01291.wav,data/base_audio/clip_02880.wav,0
data/base_audio/clip_02268.wav,data/base_audio/clip_00335.wav,0
data/base_audio/clip_05199.wav,data/base_audio/clip_00161.wav,0
data/base_audio/clip_05051.wav,data/base_audio/clip_01539.wav,0
data/base_audio/clip_03457.wav,data/base_audio/clip_03283.wav,0
data/base_audio/clip_06850.wav,data/base_audio/clip_06850.wav,1
data/base_audio/clip_04135.wav,data/base_audio/clip_06015.wav,0
data/base_audio/clip_05177.wav,data/base_audio/clip_05177.wav,1
data/base_audio/clip_02320.wav,data/base_audio/clip_04234.wav,0
data/base_audio/clip_01484.wav,data/base_audio/clip_01484.wav,1
data/base_audio/clip_02093.wav,data/base_audio/clip_02093.wav,1
data/base_audio/clip_02158.wav,data/base_audio/clip_02158.wav,1
data/base_audio/clip_00210.wav,data/base_audio/clip_02017.wav,0
data/base_audio/clip_04111.wav,data/base_audio/clip_04111.wav,1
data/base_audio/clip_03175.wav,data/base_audio/clip_06449.wav,0
data/base_audio/clip_05597.wav,data/base_audio/clip_00733.wav,0
data/base_audio/clip_05870.wav,data/base_audio/clip_05299.wav,0
data/base_audio/clip_04297.wav,data/base_audio/clip_04297.wav,1
data/base_audio/clip_04400.wav,data/base_audio/clip_04400.wav,1
data/base_audio/clip_07047.wav,data/base_audio/clip_07047.wav,1
data/base_audio/clip_02183.wav,data/base_audio/clip_02183.wav,1
data/base_audio/clip_06078.wav,data/base_audio/clip_06078.wav,1
data/base_audio/clip_00279.wav,data/base_audio/clip_00279.wav,1
data/base_audio/clip_05596.wav,data/base_audio/clip_05596.wav,1
data/base_audio/clip_04988.wav,data/base_audio/clip_04988.wav,1
data/base_audio/clip_05236.wav,data/base_audio/clip_03114.wav,0
data/base_audio/clip_04441.wav,data/base_audio/clip_02643.wav,0
data/base_audio/clip_00886.wav,data/base_audio/clip_00886.wav,1
data/base_audio/clip_00159.wav,data/base_audio/clip_04976.wav,0
data/base_audio/clip_07241.wav,data/base_audio/clip_07241.wav,1
data/base_audio/clip_00169.wav,data/base_audio/clip_00169.wav,1
data/base_audio/clip_03739.wav,data/base_audio/clip_06115.wav,0
data/base_audio/clip_03917.wav,data/base_audio/clip_05245.wav,0
data/base_audio/clip_02494.wav,data/base_audio/clip_02324.wav,0
data/base_audio/clip_05630.wav,data/base_audio/clip_07328.wav,0
data/base_audio/clip_06330.wav,data/base_audio/clip_06330.wav,1
data/base_audio/clip_07712.wav,data/base_audio/clip_04303.wav,0
data/base_audio/clip_04670.wav,data/base_audio/clip_07523.wav,0
data/base_audio/clip_04173.wav,data/base_audio/clip_04173.wav,1
data/base_audio/clip_03217.wav,data/base_audio/clip_00277.wav,0
data/base_audio/clip_01026.wav,data/base_audio/clip_01026.wav,1
data/base_audio/clip_02607.wav,data/base_audio/clip_02607.wav,1
data/base_audio/clip_02816.wav,data/base_audio/clip_02003.wav,0
data/base_audio/clip_02882.wav,data/base_audio/clip_02882.wav,1
data/base_audio/clip_06267.wav,data/base_audio/clip_01836.wav,0
data/base_audio/clip_01576.wav,data/base_audio/clip_01117.wav,0
data/base_audio/clip_07246.wav,data/base_audio/clip_01670.wav,0
data/base_audio/clip_01987.wav,data/base_audio/clip_01459.wav,0
data/base_audio/clip_04527.wav,data/base_audio/clip_05337.wav,0
data/base_audio/clip_03064.wav,data/base_audio/clip_03064.wav,1
data/base_audio/clip_03965.wav,data/base_audio/clip_05286.wav,0
data/base_audio/clip_06319.wav,data/base_audio/clip_06319.wav,1
data/base_audio/clip_02938.wav,data/base_audio/clip_07949.wav,0
data/base_audio/clip_04079.wav,data/base_audio/clip_01957.wav,0
